fast,slow,atr,total_return,total_trades,win_rate,final_equity
25,30,0.015,0.21169065834278755,11,0.6363636363636364,1.2116906583427876
25,30,0.02,0.21169065834278755,11,0.6363636363636364,1.2116906583427876
9,50,0.0,0.2057431405388681,5,0.4,1.205743140538868
9,50,0.001,0.2057431405388681,5,0.4,1.205743140538868
9,50,0.002,0.2057431405388681,5,0.4,1.205743140538868
9,50,0.003,0.2057431405388681,5,0.4,1.205743140538868
9,50,0.005,0.2057431405388681,5,0.4,1.205743140538868
9,50,0.008,0.2057431405388681,5,0.4,1.205743140538868
9,50,0.01,0.2057431405388681,5,0.4,1.205743140538868
9,50,0.015,0.2057431405388681,5,0.4,1.205743140538868
9,50,0.02,0.2057431405388681,5,0.4,1.205743140538868
11,25,0.0,0.20505077454877285,11,0.5454545454545454,1.2050507745487729
11,25,0.001,0.20505077454877285,11,0.5454545454545454,1.2050507745487729
11,25,0.002,0.20505077454877285,11,0.5454545454545454,1.2050507745487729
11,25,0.003,0.20505077454877285,11,0.5454545454545454,1.2050507745487729
11,25,0.005,0.20505077454877285,11,0.5454545454545454,1.2050507745487729
11,25,0.008,0.20505077454877285,11,0.5454545454545454,1.2050507745487729
11,25,0.01,0.20505077454877285,11,0.5454545454545454,1.2050507745487729
11,25,0.015,0.20505077454877285,11,0.5454545454545454,1.2050507745487729
11,25,0.02,0.20505077454877285,11,0.5454545454545454,1.2050507745487729
5,70,0.0,0.2015286064817674,4,0.5,1.2015286064817674
5,70,0.001,0.2015286064817674,4,0.5,1.2015286064817674
5,70,0.002,0.2015286064817674,4,0.5,1.2015286064817674
5,70,0.003,0.2015286064817674,4,0.5,1.2015286064817674
5,70,0.005,0.2015286064817674,4,0.5,1.2015286064817674
5,70,0.008,0.2015286064817674,4,0.5,1.2015286064817674
5,70,0.01,0.2015286064817674,4,0.5,1.2015286064817674
5,70,0.015,0.2015286064817674,4,0.5,1.2015286064817674
5,70,0.02,0.2015286064817674,4,0.5,1.2015286064817674
11,35,0.0,0.19722676155075236,10,0.5,1.1972267615507524
11,35,0.001,0.19722676155075236,10,0.5,1.1972267615507524
11,35,0.002,0.19722676155075236,10,0.5,1.1972267615507524
11,35,0.003,0.19722676155075236,10,0.5,1.1972267615507524
11,35,0.005,0.19722676155075236,10,0.5,1.1972267615507524
11,35,0.008,0.19722676155075236,10,0.5,1.1972267615507524
11,35,0.01,0.19722676155075236,10,0.5,1.1972267615507524
11,35,0.015,0.19722676155075236,10,0.5,1.1972267615507524
11,35,0.02,0.19722676155075236,10,0.5,1.1972267615507524
15,35,0.0,0.19218289482827267,7,0.7142857142857143,1.1921828948282727
15,35,0.001,0.19218289482827267,7,0.7142857142857143,1.1921828948282727
15,35,0.002,0.19218289482827267,7,0.7142857142857143,1.1921828948282727
15,35,0.003,0.19218289482827267,7,0.7142857142857143,1.1921828948282727
15,35,0.005,0.19218289482827267,7,0.7142857142857143,1.1921828948282727
15,35,0.008,0.19218289482827267,7,0.7142857142857143,1.1921828948282727
15,35,0.01,0.19218289482827267,7,0.7142857142857143,1.1921828948282727
15,35,0.015,0.19218289482827267,7,0.7142857142857143,1.1921828948282727
15,35,0.02,0.19218289482827267,7,0.7142857142857143,1.1921828948282727
7,50,0.0,0.18537293765292007,5,0.6,1.18537293765292
7,50,0.001,0.18537293765292007,5,0.6,1.18537293765292
7,50,0.002,0.18537293765292007,5,0.6,1.18537293765292
